blue,green,red,ndwi,brightness,label,source_file
0.15681534,0.39703053,0.45674363,-0.06994007,0.33686316,1,GSL_1992_03.tif
0.15800332,0.399582,0.46884668,-0.07975853,0.342144,1,GSL_1992_03.tif
0.15740933,0.3934585,0.46004444,-0.07801482,0.33697078,1,GSL_1992_03.tif
0.15019657,0.39253998,0.4594332,-0.078515545,0.3340566,1,GSL_1992_03.tif
0.15622135,0.39253998,0.4594332,-0.078515545,0.33606485,1,GSL_1992_03.tif
0.15622135,0.39080498,0.4635898,-0.085188635,0.33687207,1,GSL_1992_03.tif
0.15681534,0.3951935,0.46469006,-0.080820814,0.3388996,1,GSL_1992_03.tif
0.15562735,0.38641647,0.4560101,-0.08261083,0.33268464,1,GSL_1992_03.tif
0.15622135,0.38549793,0.46004444,-0.08816403,0.33392122,1,GSL_1992_03.tif
0.15681534,0.3863144,0.4560101,-0.08274201,0.33304662,1,GSL_1992_03.tif
0.14773574,0.38284442,0.45723262,-0.08854916,0.32927093,1,GSL_1992_03.tif
0.15019657,0.38192588,0.45833293,-0.09093264,0.3301518,1,GSL_1992_03.tif
0.15019657,0.3784559,0.46530133,-0.1029269,0.33131793,1,GSL_1992_03.tif
0.15079056,0.3793744,0.45772165,-0.09359396,0.32929555,1,GSL_1992_03.tif
0.14960258,0.3793744,0.45490983,-0.090539075,0.32796228,1,GSL_1992_03.tif
0.15019657,0.3784559,0.4555211,-0.09240676,0.32805786,1,GSL_1992_03.tif
0.14595376,0.38019088,0.4508755,-0.0850528,0.32567337,1,GSL_1992_03.tif
0.14535977,0.37753737,0.45319828,-0.09107689,0.32536516,1,GSL_1992_03.tif
0.14773574,0.3784559,0.4555211,-0.09240676,0.32723758,1,GSL_1992_03.tif
0.14654775,0.37570032,0.45429856,-0.09469668,0.32551554,1,GSL_1992_03.tif
0.14773574,0.37314886,0.45662138,-0.10059703,0.32583532,1,GSL_1992_03.tif
0.14349294,0.37927237,0.45662138,-0.092534386,0.32646224,1,GSL_1992_03.tif
0.14714174,0.37396532,0.46065572,-0.103867844,0.32725427,1,GSL_1992_03.tif
0.14595376,0.37212828,0.45845518,-0.10393512,0.3255124,1,GSL_1992_03.tif
0.14111698,0.3747818,0.46187824,-0.10410005,0.32592568,1,GSL_1992_03.tif
0.1309984,0.061902266,0.09055057,-0.18791462,0.094483756,1,GSL_2005_07.tif
0.10637673,0.05432526,0.066244625,-0.09885773,0.075648874,1,GSL_2005_07.tif
0.09745181,0.065385945,0.06506853,0.002433145,0.075968765,1,GSL_2005_07.tif
0.09703509,0.06512467,0.064284466,0.006492552,0.07548141,1,GSL_2005_07.tif
0.09974381,0.07200494,0.061050206,0.082331635,0.07759965,1,GSL_2005_07.tif
0.14301406,0.097348705,0.1108382,-0.06479479,0.11706698,1,GSL_2005_07.tif
0.12606712,0.058331493,0.075947404,-0.131188,0.086782,1,GSL_2005_07.tif
0.14926496,0.066431046,0.0933928,-0.16869563,0.1030296,1,GSL_2005_07.tif
0.15520334,0.08576547,0.10637884,-0.10728009,0.11578255,1,GSL_2005_07.tif
0.1580857,0.07278877,0.09991033,-0.15704426,0.1102616,1,GSL_2005_07.tif
0.13134567,0.06312155,0.08927647,-0.17162132,0.094581224,1,GSL_2005_07.tif
0.12940094,0.060682975,0.07408525,-0.09944612,0.088056386,1,GSL_2005_07.tif
0.13929823,0.05976851,0.076143414,-0.12048085,0.09173671,1,GSL_2005_07.tif
0.1444726,0.07265813,0.08501313,-0.07835874,0.100714624,1,GSL_2005_07.tif
0.14457679,0.06765033,0.08305297,-0.10220436,0.0984267,1,GSL_2005_07.tif
0.12849803,0.058505677,0.089374475,-0.20874059,0.092126064,1,GSL_2005_07.tif
0.13488786,0.06172808,0.09476491,-0.21110608,0.09712695,1,GSL_2005_07.tif
0.11175947,0.06373119,0.070949,-0.053591814,0.082146555,1,GSL_2005_07.tif
0.120441295,0.06425375,0.07986771,-0.10833818,0.08818758,1,GSL_2005_07.tif
0.14558387,0.07252749,0.08359201,-0.07087168,0.10056779,1,GSL_2005_07.tif
0.1317624,0.05911532,0.070949,-0.09098261,0.08727557,1,GSL_2005_07.tif
0.12051075,0.05911532,0.06320638,-0.03344483,0.08094415,1,GSL_2005_07.tif
0.10356382,0.061249074,0.063990444,-0.021888845,0.07626778,1,GSL_2005_07.tif
0.11641293,0.0647763,0.06791075,-0.023622712,0.08303333,1,GSL_2005_07.tif
0.13259585,0.075053155,0.09564698,-0.120642565,0.10109866,1,GSL_2005_07.tif
0.2025824,0.13404287,0.21921572,-0.24110553,0.18528034,0,GSL_2014_04.tif
0.19757916,0.13387859,0.20679405,-0.21403317,0.17941727,0,GSL_2014_04.tif
0.18624827,0.11153551,0.19798137,-0.27929196,0.16525505,0,GSL_2014_04.tif
0.16182064,0.08927458,0.20016356,-0.38311675,0.1504196,0,GSL_2014_04.tif
0.18301088,0.11046764,0.200835,-0.29028684,0.16477118,0,GSL_2014_04.tif
0.3030153,0.20674,0.2827509,-0.15528528,0.26416874,0,GSL_2014_04.tif
0.31000513,0.21741869,0.28283483,-0.13076572,0.2700862,0,GSL_2014_04.tif
0.31361043,0.20789002,0.27763116,-0.14364152,0.2663772,0,GSL_2014_04.tif
0.35076693,0.23384742,0.29836193,-0.12121993,0.29432544,0,GSL_2014_04.tif
0.31441978,0.19540419,0.27150425,-0.16298677,0.26044273,0,GSL_2014_04.tif
0.2897714,0.18447909,0.27041316,-0.18891041,0.24822122,0,GSL_2014_04.tif
0.33001813,0.2315474,0.29785836,-0.12525521,0.28647462,0,GSL_2014_04.tif
0.39609048,0.28789794,0.33185008,-0.07091925,0.33861282,0,GSL_2014_04.tif
0.33928886,0.24271894,0.2969351,-0.10046451,0.29298094,0,GSL_2014_04.tif
0.3576096,0.24805827,0.3133015,-0.11622335,0.30632314,0,GSL_2014_04.tif
0.23760517,0.15778239,0.2555575,-0.23654835,0.2169817,0,GSL_2014_04.tif
0.27608603,0.18957199,0.26865062,-0.17257649,0.24476956,0,GSL_2014_04.tif
0.22987956,0.15712523,0.23793216,-0.20454426,0.20831232,0,GSL_2014_04.tif
0.22936451,0.15876812,0.233316,-0.19013189,0.20714955,0,GSL_2014_04.tif
0.25232062,0.14644657,0.23826788,-0.2386733,0.21234502,0,GSL_2014_04.tif
0.20640843,0.13921793,0.2380161,-0.2619008,0.19454749,0,GSL_2014_04.tif
0.2100137,0.1389715,0.222489,-0.23105504,0.1904914,0,GSL_2014_04.tif
0.26122344,0.15991813,0.2443948,-0.2089383,0.22184545,0,GSL_2014_04.tif
0.2991893,0.18710768,0.2741061,-0.18862882,0.25346768,0,GSL_2014_04.tif
0.29286164,0.19252916,0.27393824,-0.17452218,0.25310966,0,GSL_2014_04.tif
0.5509633,0.4770056,0.48109287,-0.0042660176,0.5030206,0,GSL_2019_08.tif
0.52961665,0.43256903,0.46266133,-0.03361399,0.474949,0,GSL_2019_08.tif
0.503881,0.42175376,0.44070727,-0.021976043,0.45544735,0,GSL_2019_08.tif
0.53097993,0.43123668,0.46356243,-0.03612622,0.4752597,0,GSL_2019_08.tif
0.5613041,0.48151195,0.49198797,-0.010761185,0.5116013,0,GSL_2019_08.tif
